Temp [degC],speed [mm/s],sprayFL [uL/min],plasmaH [cm],gasFL [L/min],plasmaDC [%],PCE
155,200,5000,1.2,35,50,3.903995914
155,200,5000,1.2,35,50,5.914137004
135,200,2500,1,25,75,12.76730208
135,200,2500,1,25,75,11.91949289
135,200,2500,1,25,75,12.88948469
140,150,4000,1,20,75,12.67512381
140,150,4000,1,20,75,14.05353557
140,150,4000,1,20,75,10.24482171
140,150,4000,1,20,75,11.74329257
155,225,4000,0.8,30,25,8.708445733
155,225,4000,0.8,30,25,9.883848857
130,175,3500,0.8,25,75,10.99388984
130,175,3500,0.8,25,75,16.90434857
130,175,3500,0.8,25,75,13.73332771
130,175,3500,0.8,25,75,14.86446387
135,125,2500,1.2,20,25,14.74239286
135,125,2500,1.2,20,25,16.04515476
135,125,2500,1.2,20,25,13.78449189
135,125,2500,1.2,20,25,15.38327858
130,250,4500,1.2,30,50,12.33993176
130,250,4500,1.2,30,50,12.17798752
130,250,4500,1.2,30,50,11.81946573
145,125,3500,1,25,50,13.66070686
145,125,3500,1,25,50,16.98533143
145,125,3500,1,25,50,16.78409333
145,125,3500,1,25,50,17.69952067
145,150,4500,1,16,100,9.641386524
145,150,4500,1,16,100,11.94092999
145,150,4500,1,16,100,8.498956875
145,150,4500,1,16,100,12.43405614
165,225,4000,1,25,25,13.65758285
165,225,4000,1,25,25,13.58420559
125,275,3000,0.8,20,50,13.60520535
125,275,3000,0.8,20,50,12.32619372
125,275,3000,0.8,20,50,10.42718154
125,275,3000,0.8,20,50,10.8890364
150,100,2500,1,35,50,2.018768467
150,100,2500,1,35,50,2.69943
130,200,4500,1.2,25,50,11.60963
130,200,4500,1.2,25,50,15.87378
130,200,4500,1.2,25,50,14.33398
135,125,3500,1,25,25,11.31369
135,125,3500,1,25,25,12.53811
135,150,2500,1.2,20,25,14.16376
135,150,2500,1.2,20,25,11.24735
135,150,2500,1.2,20,25,12.75016
135,150,2500,1.2,20,25,12.87899
135,150,3500,1.2,25,25,12.1588
135,150,3500,1.2,25,25,13.84306
135,150,3500,1.2,25,25,13.66766
135,150,3500,1.2,25,25,12.79492
135,175,4000,1.2,25,25,13.91855
135,175,4000,1.2,25,25,16.11568
135,175,4000,1.2,25,25,14.17812
135,175,4000,1.2,25,25,14.71412
135,175,4000,1.2,25,50,11.44803
135,175,4000,1.2,25,50,13.04368
135,175,4000,1.2,25,50,12.76539
135,175,4000,1.2,25,50,12.47358
140,100,3500,1,25,50,12.94083
140,100,3500,1,25,50,14.54453
140,100,3500,1,25,50,12.58546
140,100,3500,1,25,50,14.71612
140,100,3500,1.2,25,25,12.65818
140,100,3500,1.2,25,25,15.38475
140,100,3500,1.2,25,25,12.73461
140,100,3500,1.2,25,25,14.08604
140,100,4000,1,25,50,10.63625
140,100,4000,1,25,50,12.7624
140,100,4000,1,25,50,11.94059
140,100,4000,1,25,50,13.40825
140,125,2500,1,25,50,11.3365
140,125,2500,1,25,50,13.59513
140,125,2500,1,25,50,12.73461257
140,125,2500,1,25,50,14.08603969
140,125,3500,1.2,25,25,9.424252
140,125,3500,1.2,25,25,11.26534
140,125,3500,1.2,25,25,14.21236
140,125,3500,1.2,25,25,14.88762
140,150,3500,1,25,50,6.666856
140,150,3500,1,25,50,12.33636
140,150,3500,1,25,50,1.76367
140,150,3500,1,25,50,9.818392
140,150,4000,1,25,50,14.55432
140,150,4000,1,25,50,14.85288
140,150,4000,1,25,50,14.37263
140,150,4000,1,25,50,9.09238
145,100,3500,1.2,25,50,9.991001
145,100,3500,1.2,25,50,12.25637
145,100,3500,1.2,25,50,14.60893
145,100,3500,1.2,25,50,13.93864
145,100,4500,1,25,50,11.64997
145,100,4500,1,25,50,11.88971
145,100,4500,1,25,50,7.739118
145,100,4500,1,25,50,14.66844
145,125,3000,1,25,50,9.77613
145,125,3000,1,25,50,13.44717
145,125,3000,1,25,50,12.02909
145,125,3000,1,25,50,14.54164
145,150,3500,1,25,50,6.103552
145,150,3500,1,25,50,14.15689
145,150,3500,1,25,50,12.83837
145,150,3500,1,25,50,14.60977
145,150,4000,1,25,50,14.33084
145,150,4000,1,25,50,14.61307
145,150,4000,1,25,50,3.857984
145,150,4000,1,25,50,11.46788
150,125,3500,1.2,25,50,10.9823
150,125,3500,1.2,25,50,5.803308
150,125,3500,1.2,25,50,11.1492
150,125,3500,1.2,25,50,12.5402
150,150,4500,1.2,25,50,14.53519
150,150,4500,1.2,25,50,15.40657
150,150,4500,1.2,25,50,14.08667
150,150,4500,1.2,25,50,12.733
135,200,3500,1,25,25,14.17812
135,200,3500,1,25,25,14.71412
130,150,5000,1.2,25,25,10.63585
130,150,5000,1.2,25,25,9.686407
130,150,5000,1.2,25,25,9.269559
130,150,5000,1.2,25,25,12.82278
130,225,4500,1.2,20,25,7.702251
130,225,4500,1.2,20,25,7.439373
130,225,4500,1.2,20,25,8.137023
130,225,4500,1.2,20,25,8.719636
135,100,4500,1.2,20,25,4.031163
135,100,4500,1.2,20,25,13.47583
135,100,4500,1.2,20,25,15.49669
135,100,4500,1.2,20,25,15.38052
135,150,3500,1.2,20,25,11.30711
135,150,3500,1.2,20,25,10.59688
135,150,3500,1.2,20,25,16.11214
135,150,3500,1.2,20,25,14.5401
135,150,3500,1.2,20,25,16.97006
135,150,4000,0.8,20,50,14.58836735
135,150,4000,0.8,20,50,16.875648
135,150,4000,0.8,20,50,16.93003714
135,150,4000,0.8,20,50,17.37242833
135,175,3000,0.8,20,75,7.008807
135,175,3000,0.8,20,75,16.42354
135,175,3000,0.8,20,75,11.36248
135,175,3000,0.8,20,75,11.95887
135,175,4000,1.2,20,50,11.89249
135,175,4000,1.2,20,50,12.72281
135,175,4000,1.2,20,50,17.04002
